Server: 041148 58618
Client 1: 99741 18743
Client 2: 39040 63493
Client 3: 41800 21224
Client 4: 871 52873
Client 5: 89815 43353
Client 6: 31229 83853
Client 7: 5360 63856
Client 8: 6080 86987
Client 9: 72664 61390
Client 10: 50656 80507
Client 11: 89334 27602
Client 12: 85410 6181
Client 13: 61903 57021
Client 14: 39433 38959
Client 15: 11523 41837
Client 16: 55270 47617
Client 17: 68622 15976
Client 18: 7926 70185
Client 19: 61645 18685
Client 20: 53684 39830
Client 21: 14643 74704
Client 22: 56007 96991
Client 23: 89903 26449
Client 24: 5611 98711
Client 25: 4820 91871
Client 26: 25854 12917
Client 27: 35041 44191
Client 28: 77100 9809
Client 29: 41435 729
Client 30: 97352 78671
Client 31: 1433 2463
Client 32: 38910 68401
Client 33: 56441 19053
Client 34: 31728 90964
Client 35: 82562 70085
Client 36: 77992 32432
Client 37: 33250 82040
Client 38: 33378 88559
Client 39: 43062 49328
Client 40: 10083 97875
Client 41: 74620 73294
Client 42: 10955 76599
Client 43: 18013 76310
Client 44: 34095 94598
Client 45: 58600 62268
Client 46: 19658 73015
Client 47: 44928 9122
Client 48: 30429 53931
Client 49: 81865 80461
Client 50: 7978 54468
Client 51: 7226 27448
Client 52: 10391 94100
Client 53: 98091 30738
Client 54: 78947 29535
Client 55: 98640 27019
Client 56: 81725 47994
Client 57: 63342 77764
Client 58: 38756 7632
Client 59: 4383 22961
Client 60: 87699 38931
Client 61: 87341 56600
Client 62: 15144 49285
Client 63: 94361 12354
Client 64: 63620 81564
Client 65: 86404 58348
Client 66: 69752 90412
Client 67: 31090 79839
Client 68: 57569 15553
Client 69: 32663 97955
Client 70: 7529 31914
Client 71: 68020 64437
Client 72: 3130 97890
Client 73: 97431 22090
Client 74: 37421 95375
Client 75: 13619 56920
Client 76: 33838 29988
Client 77: 90469 34000
Client 78: 90044 53685
Client 79: 25779 18357
Client 80: 29231 85926
Client 81: 11027 3075
Client 82: 70320 28125
Client 83: 28207 23876
Client 84: 50076 37487
Client 85: 46980 1266
Client 86: 69801 92490
Client 87: 90700 67773
Client 88: 52526 90217
Client 89: 23589 3457
Client 90: 31485 68127
Client 91: 31815 87679
Client 92: 82122 83291
Client 93: 58710 33171
Client 94: 27379 15649
Client 95: 53822 97653
Client 96: 83106 48309
Client 97: 84409 63308
Client 98: 69177 76289
Client 99: 99248 92436
Client 100: 65475 88451
